x
A.E. Paulin
A.E. Porsild
A.E.R. Soares
A.E. Reuss
A.E. Rodr.
A.E. Rossi
A.E.S. Khan
A.E. Santiago
A.E. Schulze
A.E. Siebert
A.E. Vaughan
A.E. Wade
A.E. Wood
A.E. Wright
A.E. van Wyk
A.E. Åberg
A. Eddy
A. Edwards
A. Ehrlich
A. Endo
A. Ernst
A. Ernst bis
A. Estrada
A. Evans
A.F. Baker
A.F. Barbosa
A.F. Bartsch
A.F. Braithw.
A.F. Carrillo
A.F. Costa
A.F. Fern.
A.F. Hill
A.F. Johnson
A.F.M. Reijnders
A.F. Mello
A.F. Mitch.
A.F. Moeller
A.F. Molinari
A.F.P. Machado
A.F. Peters
A.F. Porter
A.F. Rob.
A.F.S. Taylor
A.F. Schwarz
A.F. Tryon
A.F. Vallejo
A.F. Vital
A.F.W. Schmidt
A.F. Woods
A.F. Wulff
A. Fage
A. Farooqui
A. Faure
A. Favrat
A. Favre
A. Fay
A. Fedtsch.
A. Fern.
A. Fernández
A. Ferrari
A. Ferrer
A. Fisch.
A. Fleischm.
A. Fletcher
A. Fomena
A. Fontana
A. Franc
A. Frapp.
A. Froehner
A. Fröhl.
A. Fuchs
A. Fuentes
A. Funk
A. Félix
A.G. Alexeev
A.G. Andrade
A.G. Burm.
A.G. Bystr.
A.G. Cunha
A.G. Day
A.G. Diaz
A.G. Eliasson
A.G. Floyd
A.G. Gu
A.G. Guerra
A.G. Ham.
A.G. Henckel
A.G.J. Herre
A.G. Jones
A.G. Lang
A.G. Lochhead
A.G. Lyon
A.G. Medeiros
A.G. Mill.
A.G. Molinari
A.G. Newhall
A.G. Parrot
A.G. Peltier
A.G. Richt.
A.G. Schulz
A.G. Wilson
A. Gaertn.
A. Galloway
A. Galán
A. Gamal-Eldin
A. García
A. Garib.
A. Gautier
A. Geiger
A. Gennari
A. Gepp
A. Gerlach
A. Ghosh
A. Gibson
A. Gil
A. Gillet
A. Giord.
A. Giraldo
A. Glenn
A. Gomez
A. González
A. Gooss.
A. Grall
A. Gran
A. Granda
A. Grau
A. Gravis
A. Gray
A. Gross
A. Grove
A. Gruber
A. Gröger
A. Guerra
A. Guerrero
A. Guillén
A. Gupta
A. Gustavsson
A. Gut.
A.H. Baker
A.H. Burb.
A.H. Evans
A.H. Gentry
A.H. Graves
A.H. Heller
A.H. Holmgren
A.H. Husson
A.H.K. Petrie
A.H. Kenn.
A.H. Kent
A.H. Khan
A.H. Knoll
A.H. Legge
A.H. Li
A.H. Marsh
A.H. Mohammadi
A.H. Moore
A.H. Nee
A.H.S. Br.
A.H.S. Lucas
A.H. Sm.
A.H. Stoneb.
A.H. Sturtev.
A.H. Wang
A.H. Wani
A.H.Y. Ngan
A. Hafiz
A. Hagborg
A. Haines
A. Ham.
A. Hamel
A. Hancock
A. Hansen
A. Harm.
A. Hartw.
A. Hasan
A. Haseg.
A. Hashim.
A. Hasselt
A. Hatt.
A. Hay
A. Heller
A. Hempel
A. Hend.
A. Henkel
A. Henrici
A. Henry
A. Hensel
A. Hern.
A.Hern. Gut.
A. Herndon
A. Hidalgo
A. Hidayat
A. Higashi
A. Hirai
A. Hjort
A. Hofer
A. Hofm.
A. Horák
A. Hsiao
A. Huber
A. Huet
